#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.1	15	0.00103224005466	1.0	2.37281700835e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.1	20	0.00103224005466	1.0	3.14702920443e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.15	5	0.00143998752443	1.0	0.000214728869551
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.15	10	0.00143998752443	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.15	15	0.00143998752443	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.15	20	0.00143998752443	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.2	5	0.00129118544073	1.0	0.000109983079526
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.2	10	0.00129118544073	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.2	15	0.00129118544073	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.2	20	0.00129118544073	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.25	5	0.0009466193357	1.0	3.38409475465e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.25	10	0.0009466193357	1.0	7.10732054016e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.25	15	0.0009466193357	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.25	20	0.0009466193357	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.5	5	0.00133076679499	0.999830823888	6.76818950931e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.5	10	0.00133076679499	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.5	15	0.00133076679499	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	0.5	20	0.00133076679499	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	1.0	5	0.00235349343644	0.999661705007	0.000137243842828
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	1.0	10	0.00235349343644	0.999289772727	0.00013030087657
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	1.0	15	0.00235349343644	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	1.0	20	0.00235349343644	1.0	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	2.0	5	0.00370128552396	0.999830823888	9.4555588733e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	2.0	10	0.00370128552396	1.0	8.01315551096e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	2.0	15	0.00370128552396	1.0	3.34985930591e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	20000	2.0	20	0.00370128552396	1.0	4.4428647592e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.0	5	0.00943301889937	0.998787426546	0.00242220980063
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.0	10	0.00943301889937	0.999180999181	0.00163666121113
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.0	15	0.00943301889937	0.999683042789	0.00063371356147
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.0	20	0.00943301889937	0.999576450657	0.000846740050804
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.05	5	0.00988530457798	0.999441340782	0.000401035210985
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.05	10	0.00988530457798	1.0	0.000239156642594
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.05	15	0.00988530457798	1.0	3.16856780735e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.05	20	0.00988530457798	1.0	4.23370025402e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.1	5	0.00951359348493	0.999720592344	0.000124337272466
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.1	10	0.00951359348493	1.0	0.000132758182678
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.1	15	0.00951359348493	1.0	8.4633654979e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.1	20	0.00951359348493	1.0	0.00011308374899
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.15	5	0.0097981772421	0.999720540289	0.000870464338882
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.15	10	0.0097981772421	1.0	0.000296140030183
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.15	15	0.0097981772421	0.999366687777	5.70342205323e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.15	20	0.0097981772421	1.0	7.62066045724e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.2	5	0.0108750846873	0.999627491153	0.000250931439457
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.2	10	0.0108750846873	1.0	0.000268036975818
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.2	15	0.0108750846873	1.0	0.000192596240642
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.2	20	0.0108750846873	0.999576809141	0.000159852065017
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.25	5	0.0107666539372	0.999162245183	0.00035905560606
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.25	10	0.0107666539372	1.0	0.000238544933991
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.25	15	0.0107666539372	1.0	0.00013805595914
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.25	20	0.0107666539372	1.0	8.45019034441e-05
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.5	5	0.012841673853	0.999348291593	0.000421661498858
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.5	10	0.012841673853	0.999591002045	0.000213497308962
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.5	15	0.012841673853	0.999683243586	0.000112567540524
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	0.5	20	0.012841673853	0.999576809141	0.0
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	1.0	5	0.0165904989796	0.998418457531	0.000726332504762
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	1.0	10	0.0165904989796	0.999386628501	0.000462995043532
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	1.0	15	0.0165904989796	0.999683243586	0.000256065088024
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	1.0	20	0.0165904989796	0.999153976311	0.000196562984201
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	2.0	5	0.0264051647025	0.998046329891	0.00155853914167
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	2.0	10	0.0264051647025	0.999795459194	0.000497816571338
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	2.0	15	0.0264051647025	1.0	0.000330001872263
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	30000	2.0	20	0.0264051647025	0.999576809141	0.00023718982168
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.0	5	0.0346241343966	0.99580134357	0.00836220284315
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.0	10	0.0346241343966	0.995838367566	0.00828877005348
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.0	15	0.0346241343966	0.997343143266	0.00529963310232
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.0	20	0.0346241343966	0.998168977243	0.00365535248042
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.05	5	0.0377670164888	0.998032552316	0.00134015369335
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.05	10	0.0377670164888	0.999599091274	0.000367693208224
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.05	15	0.0377670164888	0.999592502037	0.000316451222926
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.05	20	0.0377670164888	0.999738971548	0.000186869606807
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.1	5	0.0366999902882	0.998151130196	0.00110137914863
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.1	10	0.0366999902882	0.999331818789	0.000700333697267
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.1	15	0.0366999902882	0.999796209497	0.000224989282686
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.1	20	0.0366999902882	1.0	0.000224374145278
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.15	5	0.0397141681526	0.998151350707	0.00160750690163
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.15	10	0.0397141681526	0.999465526456	0.000627942183308
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.15	15	0.0397141681526	0.999388877572	0.000345924873878
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.15	20	0.0397141681526	0.999738971548	0.000223173047019
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.2	5	0.039679461228	0.997854077253	0.00128636107756
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.2	10	0.039679461228	0.999331997328	0.000489101521759
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.2	15	0.039679461228	0.999592502037	0.000253396120554
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.2	20	0.039679461228	0.999478079332	0.00017533262155
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.25	5	0.0417054191883	0.997080378955	0.00168539875165
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.25	10	0.0417054191883	0.999732691794	0.000646204888601
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.25	15	0.0417054191883	0.999796209497	0.000466596763606
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.25	20	0.0417054191883	0.999478079332	0.000321507881002
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.5	5	0.0449920132433	0.997793284428	0.00207112967488
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.5	10	0.0449920132433	0.999465526456	0.000837186444408
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.5	15	0.0449920132433	0.999592502037	0.000372358330372
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	0.5	20	0.0449920132433	0.999738971548	0.000287749965134
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	1.0	5	0.0554255665616	0.996664284012	0.00233083518853
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	1.0	10	0.0554255665616	0.998664886515	0.000816439800873
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	1.0	15	0.0554255665616	1.0	0.000576616618924
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	1.0	20	0.0554255665616	0.999217323245	0.000424756435758
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	2.0	5	0.0825046723225	0.994886431205	0.00339498238814
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	2.0	10	0.0825046723225	0.998397435897	0.00171694697809
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	2.0	15	0.0825046723225	0.999388877572	0.00081798338084
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	40000	2.0	20	0.0825046723225	0.999478079332	0.000610048845618
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.0	5	0.0814783704326	0.987932421561	0.0238473767886
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.0	10	0.0814783704326	0.990405623634	0.0190063981935
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.0	15	0.0814783704326	0.992289442467	0.015303119482
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.0	20	0.0814783704326	0.992147624656	0.0155823918972
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.05	5	0.0883040270157	0.996170606101	0.00346768092066
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.05	10	0.0883040270157	0.998778080647	0.00118509433952
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.05	15	0.0883040270157	0.999264597735	0.00085189645891
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.05	20	0.0883040270157	0.999805182155	0.000754666080057
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.1	5	0.0873720803969	0.995995247106	0.00303021185228
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.1	10	0.0873720803969	0.998590358049	0.00111208993096
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.1	15	0.0873720803969	0.999705795822	0.000530067991357
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.1	20	0.0873720803969	0.999805258033	0.000464006550511
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.15	5	0.0924742006071	0.995554773117	0.00396447958728
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.15	10	0.0924742006071	0.998778310309	0.00116705135548
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.15	15	0.0924742006071	0.999117906498	0.000669375537336
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.15	20	0.0924742006071	0.999805258033	0.000625496037003
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.2	5	0.0923739062582	0.99551293331	0.00387779133394
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.2	10	0.0923739062582	0.998309224122	0.00109847384096
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.2	15	0.0923739062582	0.999264813998	0.000621257479281
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.2	20	0.0923739062582	0.9996105919	0.000492252782998
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.25	5	0.0947888635346	0.994766700383	0.00416781183463
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.25	10	0.0947888635346	0.999341795957	0.00105902298294
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.25	15	0.0947888635346	0.999264813998	0.000680678683525
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.25	20	0.0947888635346	0.999805258033	0.000548669849124
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.5	5	0.103460364954	0.994328423829	0.00520817401227
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.5	10	0.103460364954	0.998496805712	0.00135944467896
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.5	15	0.103460364954	0.999117906498	0.000916607361554
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	0.5	20	0.103460364954	0.999026290166	0.00138409774358
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	1.0	5	0.124688480438	0.992323551344	0.00553819751875
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	1.0	10	0.124688480438	0.997465026758	0.00201142597244
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	1.0	15	0.124688480438	0.999411764706	0.000953114866841
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	1.0	20	0.124688480438	0.9996105919	0.000737428898777
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	2.0	5	0.165096366295	0.989404553415	0.00809045025684
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	2.0	10	0.165096366295	0.996527451901	0.00303497470563
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	2.0	15	0.165096366295	0.998530276308	0.00168641936089
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	50000	2.0	20	0.165096366295	0.99922148696	0.00104165560596
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.0	5	0.143480941984	0.974399596731	0.0499227636568
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.0	10	0.143480941984	0.983239405694	0.0329686150302
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.0	15	0.143480941984	0.987419245155	0.0248488918737
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.0	20	0.143480941984	0.98772629641	0.0242497726584
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.05	5	0.153339646791	0.993712010061	0.0066852906184
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	60000	0.05	10	0.153339646791	0.997126436782	0.00273738303904
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
